serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
1,10/02/1957,1957,7,2,Sudan,Sudan,home_team,1,2,-1,1,loser,African Cup of Nations,Khartoum,Sudan,-1,1,1,0.481065478,Sudan,Sudan,Egypt,Egypt
1,10/02/1957,1957,7,2,Egypt,Egypt,away_team,1,2,-1,1,winner,African Cup of Nations,Khartoum,Sudan,1,1,1,0.737720969,Sudan,Sudan,Egypt,Egypt
2,17/02/1957,1957,7,2,Sudan,Sudan,home_team,3,4,-1,1,loser,Friendly,Khartoum,Sudan,-1,1,1,0.907278854,Sudan,Sudan,Egypt,Egypt
2,17/02/1957,1957,7,2,Egypt,Egypt,away_team,3,4,-1,1,winner,Friendly,Khartoum,Sudan,1,1,1,0.152371585,Sudan,Sudan,Egypt,Egypt
3,08/03/1957,1957,7,3,Sudan,Sudan,home_team,1,0,1,-1,winner,FIFA World Cup qualification,Khartoum,Sudan,1,1,1,0.414409753,Sudan,Sudan,Syria,Syria
3,08/03/1957,1957,7,3,Syria,Syria,away_team,1,0,1,-1,loser,FIFA World Cup qualification,Khartoum,Sudan,-1,1,1,0.229913097,Sudan,Sudan,Syria,Syria
4,24/05/1957,1957,7,5,Syria,Syria,home_team,1,1,0,0,draw,FIFA World Cup qualification,Damascus,Syria,0,0,1,0.371854046,Syria,Syria,Sudan,Sudan
4,24/05/1957,1957,7,5,Sudan,Sudan,away_team,1,1,0,0,draw,FIFA World Cup qualification,Damascus,Syria,0,0,1,0.617235233,Syria,Syria,Sudan,Sudan
5,02/06/1957,1957,7,6,Tunisia,Tunisia,home_team,4,2,2,-2,winner,Friendly,Tunis,Tunisia,2,2,1,0.098377258,Tunisia,Tunisia,Libya,Libya
5,02/06/1957,1957,7,6,Libya,Libya,away_team,4,2,2,-2,loser,Friendly,Tunis,Tunisia,-2,2,1,0.156429602,Tunisia,Tunisia,Libya,Libya
6,03/04/1958,1958,8,4,Morocco,Morocco,home_team,3,1,2,-2,winner,Friendly,Casablanca,Morocco,2,2,1,0.173016313,Morocco,Morocco,Libya,Libya
6,03/04/1958,1958,8,4,Libya,Libya,away_team,3,1,2,-2,loser,Friendly,Casablanca,Morocco,-2,2,1,0.339381324,Morocco,Morocco,Libya,Libya
7,09/05/1958,1958,8,5,Tunisia,Tunisia,home_team,4,1,3,-3,winner,Friendly,Tunis,Tunisia,3,3,1,0.758661948,Tunisia,Tunisia,Libya,Libya
7,09/05/1958,1958,8,5,Libya,Libya,away_team,4,1,3,-3,loser,Friendly,Tunis,Tunisia,-3,3,1,0.97993179,Tunisia,Tunisia,Libya,Libya
8,29/05/1959,1959,9,5,Egypt,Egypt,home_team,2,1,1,-1,winner,African Cup of Nations,Cairo,United Arab Republic,1,1,1,0.748886338,Egypt,Egypt,Sudan,Sudan
8,29/05/1959,1959,9,5,Sudan,Sudan,away_team,2,1,1,-1,loser,African Cup of Nations,Cairo,United Arab Republic,-1,1,1,0.542249327,Egypt,Egypt,Sudan,Sudan
9,05/06/1960,1960,0,6,Tunisia,Tunisia,home_team,2,1,1,-1,winner,Friendly,Tunis,Tunisia,1,1,1,0.078062365,Tunisia,Tunisia,Iraq,Iraq
9,05/06/1960,1960,0,6,Iraq,Iraq,away_team,2,1,1,-1,loser,Friendly,Tunis,Tunisia,-1,1,1,0.475085667,Tunisia,Tunisia,Iraq,Iraq
10,30/10/1960,1960,0,10,Morocco,Morocco,home_team,2,1,1,-1,winner,FIFA World Cup qualification,Casablanca,Morocco,1,1,1,0.596046259,Morocco,Morocco,Tunisia,Tunisia
10,30/10/1960,1960,0,10,Tunisia,Tunisia,away_team,2,1,1,-1,loser,FIFA World Cup qualification,Casablanca,Morocco,-1,1,1,0.260560315,Morocco,Morocco,Tunisia,Tunisia
11,13/11/1960,1960,0,11,Tunisia,Tunisia,home_team,2,1,1,-1,winner,FIFA World Cup qualification,Tunis,Tunisia,1,1,1,0.277777043,Tunisia,Tunisia,Morocco,Morocco
11,13/11/1960,1960,0,11,Morocco,Morocco,away_team,2,1,1,-1,loser,FIFA World Cup qualification,Tunis,Tunisia,-1,1,1,0.789354838,Tunisia,Tunisia,Morocco,Morocco
12,23/12/1960,1960,0,12,Iraq,Iraq,home_team,3,2,1,-1,winner,Friendly,Baghdad,Iraq,1,1,1,0.535219193,Iraq,Iraq,Tunisia,Tunisia
12,23/12/1960,1960,0,12,Tunisia,Tunisia,away_team,3,2,1,-1,loser,Friendly,Baghdad,Iraq,-1,1,1,0.080267883,Iraq,Iraq,Tunisia,Tunisia
13,22/02/1961,1961,1,2,Morocco,Morocco,home_team,1,1,0,0,draw,FIFA World Cup qualification,Palermo,Italy,0,0,2,0.713591454,Morocco,Morocco,Tunisia,Tunisia
13,22/02/1961,1961,1,2,Tunisia,Tunisia,away_team,1,1,0,0,draw,FIFA World Cup qualification,Palermo,Italy,0,0,2,0.768873488,Morocco,Morocco,Tunisia,Tunisia
14,11/03/1962,1962,2,3,Libya,Libya,home_team,6,3,3,-3,winner,Friendly,Tripoli,Libya,3,3,2,0.224806704,Libya,Libya,Tunisia,Tunisia
14,11/03/1962,1962,2,3,Tunisia,Tunisia,away_team,6,3,3,-3,loser,Friendly,Tripoli,Libya,-3,3,2,0.40670467,Libya,Libya,Tunisia,Tunisia
15,03/06/1962,1962,2,6,Tunisia,Tunisia,home_team,2,2,0,0,draw,Friendly,Tunis,Tunisia,0,0,2,0.874181183,Tunisia,Tunisia,Libya,Libya
15,03/06/1962,1962,2,6,Libya,Libya,away_team,2,2,0,0,draw,Friendly,Tunis,Tunisia,0,0,2,0.105958277,Tunisia,Tunisia,Libya,Libya
16,06/01/1963,1963,3,1,Kuwait,Kuwait,home_team,2,1,1,-1,winner,Friendly,Kuwait City,Kuwait,1,1,2,0.0881714,Kuwait,Kuwait,Jordan,Jordan
16,06/01/1963,1963,3,1,Jordan,Jordan,away_team,2,1,1,-1,loser,Friendly,Kuwait City,Kuwait,-1,1,2,0.39993026,Kuwait,Kuwait,Jordan,Jordan
17,03/03/1963,1963,3,3,Tunisia,Tunisia,home_team,2,1,1,-1,winner,Friendly,Tunis,Tunisia,1,1,2,0.044676558,Tunisia,Tunisia,Kuwait,Kuwait
17,03/03/1963,1963,3,3,Kuwait,Kuwait,away_team,2,1,1,-1,loser,Friendly,Tunis,Tunisia,-1,1,2,0.84214577,Tunisia,Tunisia,Kuwait,Kuwait
18,31/03/1963,1963,3,3,Lebanon,Lebanon,home_team,6,0,6,-6,winner,UAFA Cup,Beirut,Lebanon,6,6,2,0.284034254,Lebanon,Lebanon,Kuwait,Kuwait
18,31/03/1963,1963,3,3,Kuwait,Kuwait,away_team,6,0,6,-6,loser,UAFA Cup,Beirut,Lebanon,-6,6,2,0.338840098,Lebanon,Lebanon,Kuwait,Kuwait
19,02/04/1963,1963,3,4,Syria,Syria,home_team,0,1,-1,1,loser,UAFA Cup,Beirut,Lebanon,-1,1,2,0.237477546,Syria,Syria,Tunisia,Tunisia
19,02/04/1963,1963,3,4,Tunisia,Tunisia,away_team,0,1,-1,1,winner,UAFA Cup,Beirut,Lebanon,1,1,2,0.31524677,Syria,Syria,Tunisia,Tunisia
20,04/04/1963,1963,3,4,Jordan,Jordan,home_team,0,4,-4,4,loser,UAFA Cup,Beirut,Lebanon,-4,4,2,0.252592744,Jordan,Jordan,Tunisia,Tunisia
20,04/04/1963,1963,3,4,Tunisia,Tunisia,away_team,0,4,-4,4,winner,UAFA Cup,Beirut,Lebanon,4,4,2,0.249420375,Jordan,Jordan,Tunisia,Tunisia
21,06/04/1963,1963,3,4,Kuwait,Kuwait,home_team,1,5,-4,4,loser,UAFA Cup,Beirut,Lebanon,-4,4,2,0.18556777,Kuwait,Kuwait,Tunisia,Tunisia
21,06/04/1963,1963,3,4,Tunisia,Tunisia,away_team,1,5,-4,4,winner,UAFA Cup,Beirut,Lebanon,4,4,2,0.955191304,Kuwait,Kuwait,Tunisia,Tunisia
22,06/04/1963,1963,3,4,Lebanon,Lebanon,home_team,5,0,5,-5,winner,UAFA Cup,Beirut,Lebanon,5,5,2,0.430847899,Lebanon,Lebanon,Jordan,Jordan
22,06/04/1963,1963,3,4,Jordan,Jordan,away_team,5,0,5,-5,loser,UAFA Cup,Beirut,Lebanon,-5,5,2,0.047353799,Lebanon,Lebanon,Jordan,Jordan
23,07/04/1963,1963,3,4,Kuwait,Kuwait,home_team,0,4,-4,4,loser,UAFA Cup,Beirut,Lebanon,-4,4,2,0.867178193,Kuwait,Kuwait,Syria,Syria
23,07/04/1963,1963,3,4,Syria,Syria,away_team,0,4,-4,4,winner,UAFA Cup,Beirut,Lebanon,4,4,2,0.068053974,Kuwait,Kuwait,Syria,Syria
24,07/04/1963,1963,3,4,Lebanon,Lebanon,home_team,0,1,-1,1,loser,UAFA Cup,Beirut,Lebanon,-1,1,2,0.000864785,Lebanon,Lebanon,Tunisia,Tunisia
24,07/04/1963,1963,3,4,Tunisia,Tunisia,away_team,0,1,-1,1,winner,UAFA Cup,Beirut,Lebanon,1,1,2,0.115828651,Lebanon,Lebanon,Tunisia,Tunisia
25,09/06/1963,1963,3,6,Tunisia,Tunisia,home_team,2,0,2,-2,winner,Friendly,Tunis,Tunisia,2,2,2,0.932492697,Tunisia,Tunisia,Lebanon,Lebanon
25,09/06/1963,1963,3,6,Lebanon,Lebanon,away_team,2,0,2,-2,loser,Friendly,Tunis,Tunisia,-2,2,2,0.222047373,Tunisia,Tunisia,Lebanon,Lebanon
26,02/07/1963,1963,3,7,Morocco,Morocco,home_team,4,2,2,-2,winner,African Cup of Nations qualification,Casablanca,Morocco,2,2,2,0.039504519,Morocco,Morocco,Tunisia,Tunisia
26,02/07/1963,1963,3,7,Tunisia,Tunisia,away_team,4,2,2,-2,loser,African Cup of Nations qualification,Casablanca,Morocco,-2,2,2,0.944538034,Morocco,Morocco,Tunisia,Tunisia
27,07/07/1963,1963,3,7,Algeria,Algeria,home_team,2,2,0,0,draw,Friendly,Oran,Algeria,0,0,2,0.460376256,Algeria,Algeria,Egypt,Egypt
27,07/07/1963,1963,3,7,Egypt,Egypt,away_team,2,2,0,0,draw,Friendly,Oran,Algeria,0,0,2,0.082661538,Algeria,Algeria,Egypt,Egypt
28,18/11/1963,1963,3,11,Egypt,Egypt,home_team,7,0,7,-7,winner,Friendly,Jakarta,Indonesia,7,7,2,0.518641206,Egypt,Egypt,Saudi Arabia,Saudi_Arabia
28,18/11/1963,1963,3,11,Saudi Arabia,Saudi_Arabia,away_team,7,0,7,-7,loser,Friendly,Jakarta,Indonesia,-7,7,2,0.977026693,Egypt,Egypt,Saudi Arabia,Saudi_Arabia
29,26/11/1963,1963,3,11,Egypt,Egypt,home_team,2,2,0,0,draw,African Cup of Nations,Kumasi,Ghana,0,0,2,0.625542463,Egypt,Egypt,Sudan,Sudan
29,26/11/1963,1963,3,11,Sudan,Sudan,away_team,2,2,0,0,draw,African Cup of Nations,Kumasi,Ghana,0,0,2,0.123229948,Egypt,Egypt,Sudan,Sudan
30,15/12/1963,1963,3,12,Tunisia,Tunisia,home_team,0,0,0,0,draw,Friendly,Tunis,Tunisia,0,0,2,0.014207047,Tunisia,Tunisia,Algeria,Algeria
30,15/12/1963,1963,3,12,Algeria,Algeria,away_team,0,0,0,0,draw,Friendly,Tunis,Tunisia,0,0,2,0.032041645,Tunisia,Tunisia,Algeria,Algeria
31,08/03/1964,1964,4,3,Libya,Libya,home_team,0,1,-1,1,loser,Friendly,Tripoli,Libya,-1,1,2,0.892395703,Libya,Libya,Lebanon,Lebanon
31,08/03/1964,1964,4,3,Lebanon,Lebanon,away_team,0,1,-1,1,winner,Friendly,Tripoli,Libya,1,1,2,0.654478929,Libya,Libya,Lebanon,Lebanon
32,20/03/1964,1964,4,3,Egypt,Egypt,home_team,1,0,1,-1,winner,Friendly,Cairo,Egypt,1,1,2,0.652341925,Egypt,Egypt,Algeria,Algeria
32,20/03/1964,1964,4,3,Algeria,Algeria,away_team,1,0,1,-1,loser,Friendly,Cairo,Egypt,-1,1,2,0.032167917,Egypt,Egypt,Algeria,Algeria
33,13/11/1964,1964,4,11,Jordan,Jordan,home_team,0,0,0,0,draw,UAFA Cup,Kuwait City,Kuwait,0,0,2,0.964640548,Jordan,Jordan,Lebanon,Lebanon
33,13/11/1964,1964,4,11,Lebanon,Lebanon,away_team,0,0,0,0,draw,UAFA Cup,Kuwait City,Kuwait,0,0,2,0.551133338,Jordan,Jordan,Lebanon,Lebanon
34,13/11/1964,1964,4,11,Kuwait,Kuwait,home_team,0,1,-1,1,loser,UAFA Cup,Kuwait City,Kuwait,-1,1,2,0.243479774,Kuwait,Kuwait,Iraq,Iraq
34,13/11/1964,1964,4,11,Iraq,Iraq,away_team,0,1,-1,1,winner,UAFA Cup,Kuwait City,Kuwait,1,1,2,0.661438353,Kuwait,Kuwait,Iraq,Iraq
35,15/11/1964,1964,4,11,Kuwait,Kuwait,home_team,2,0,2,-2,winner,UAFA Cup,Kuwait City,Kuwait,2,2,2,0.895982851,Kuwait,Kuwait,Jordan,Jordan
35,15/11/1964,1964,4,11,Jordan,Jordan,away_team,2,0,2,-2,loser,UAFA Cup,Kuwait City,Kuwait,-2,2,2,0.050280788,Kuwait,Kuwait,Jordan,Jordan
36,15/11/1964,1964,4,11,Libya,Libya,home_team,2,1,1,-1,winner,UAFA Cup,Kuwait City,Kuwait,1,1,2,0.403080671,Libya,Libya,Lebanon,Lebanon
36,15/11/1964,1964,4,11,Lebanon,Lebanon,away_team,2,1,1,-1,loser,UAFA Cup,Kuwait City,Kuwait,-1,1,2,0.335517987,Libya,Libya,Lebanon,Lebanon
37,16/11/1964,1964,4,11,Kuwait,Kuwait,home_team,1,1,0,0,draw,UAFA Cup,Kuwait City,Kuwait,0,0,2,0.037899311,Kuwait,Kuwait,Libya,Libya
37,16/11/1964,1964,4,11,Libya,Libya,away_team,1,1,0,0,draw,UAFA Cup,Kuwait City,Kuwait,0,0,2,0.684556607,Kuwait,Kuwait,Libya,Libya
38,17/11/1964,1964,4,11,Iraq,Iraq,home_team,1,0,1,-1,winner,UAFA Cup,Kuwait City,Kuwait,1,1,2,0.318814243,Iraq,Iraq,Lebanon,Lebanon
38,17/11/1964,1964,4,11,Lebanon,Lebanon,away_team,1,0,1,-1,loser,UAFA Cup,Kuwait City,Kuwait,-1,1,2,0.146264568,Iraq,Iraq,Lebanon,Lebanon
39,17/11/1964,1964,4,11,Jordan,Jordan,home_team,2,5,-3,3,loser,UAFA Cup,Kuwait City,Kuwait,-3,3,2,0.266404859,Jordan,Jordan,Libya,Libya
39,17/11/1964,1964,4,11,Libya,Libya,away_team,2,5,-3,3,winner,UAFA Cup,Kuwait City,Kuwait,3,3,2,0.629691526,Jordan,Jordan,Libya,Libya
40,19/11/1964,1964,4,11,Kuwait,Kuwait,home_team,2,3,-1,1,loser,UAFA Cup,Kuwait City,Kuwait,-1,1,2,0.013432178,Kuwait,Kuwait,Lebanon,Lebanon
40,19/11/1964,1964,4,11,Lebanon,Lebanon,away_team,2,3,-1,1,winner,UAFA Cup,Kuwait City,Kuwait,1,1,2,0.403666847,Kuwait,Kuwait,Lebanon,Lebanon
41,28/02/1965,1965,5,2,Tunisia,Tunisia,home_team,0,0,0,0,draw,Friendly,Tunis,Tunisia,0,0,2,0.355775713,Tunisia,Tunisia,Morocco,Morocco
41,28/02/1965,1965,5,2,Morocco,Morocco,away_team,0,0,0,0,draw,Friendly,Tunis,Tunisia,0,0,2,0.137977452,Tunisia,Tunisia,Morocco,Morocco
42,12/03/1965,1965,5,3,Kuwait,Kuwait,home_team,0,2,-2,2,loser,Friendly,Tripoli,Libya,-2,2,2,0.874981407,Kuwait,Kuwait,Morocco,Morocco
42,12/03/1965,1965,5,3,Morocco,Morocco,away_team,0,2,-2,2,winner,Friendly,Tripoli,Libya,2,2,2,0.220071884,Kuwait,Kuwait,Morocco,Morocco
43,14/03/1965,1965,5,3,Libya,Libya,home_team,4,1,3,-3,winner,Friendly,Tripoli,Libya,3,3,2,0.643489692,Libya,Libya,Kuwait,Kuwait
43,14/03/1965,1965,5,3,Kuwait,Kuwait,away_team,4,1,3,-3,loser,Friendly,Tripoli,Libya,-3,3,2,0.982232691,Libya,Libya,Kuwait,Kuwait
44,19/03/1965,1965,5,3,Libya,Libya,home_team,1,0,1,-1,winner,Friendly,Tripoli,Libya,1,1,2,0.256017083,Libya,Libya,Morocco,Morocco
44,19/03/1965,1965,5,3,Morocco,Morocco,away_team,1,0,1,-1,loser,Friendly,Tripoli,Libya,-1,1,2,0.772501122,Libya,Libya,Morocco,Morocco
45,02/05/1965,1965,5,5,Morocco,Morocco,home_team,0,1,-1,1,loser,Friendly,Casablanca,Morocco,-1,1,2,0.013589082,Morocco,Morocco,Tunisia,Tunisia
45,02/05/1965,1965,5,5,Tunisia,Tunisia,away_team,0,1,-1,1,winner,Friendly,Casablanca,Morocco,1,1,2,0.27179077,Morocco,Morocco,Tunisia,Tunisia
46,30/07/1965,1965,5,7,Jordan,Jordan,home_team,0,0,0,0,draw,Friendly,Amman,Jordan,0,0,2,0.247597072,Jordan,Jordan,Iraq,Iraq
46,30/07/1965,1965,5,7,Iraq,Iraq,away_team,0,0,0,0,draw,Friendly,Amman,Jordan,0,0,2,0.801612826,Jordan,Jordan,Iraq,Iraq
47,31/10/1965,1965,5,10,Algeria,Algeria,home_team,0,0,0,0,draw,Friendly,Algiers,Algeria,0,0,2,0.614192429,Algeria,Algeria,Morocco,Morocco
47,31/10/1965,1965,5,10,Morocco,Morocco,away_team,0,0,0,0,draw,Friendly,Algiers,Algeria,0,0,2,0.115292948,Algeria,Algeria,Morocco,Morocco
48,06/03/1966,1966,6,3,Morocco,Morocco,home_team,1,0,1,-1,winner,Friendly,Casablanca,Morocco,1,1,2,0.924864134,Morocco,Morocco,Algeria,Algeria
48,06/03/1966,1966,6,3,Algeria,Algeria,away_team,1,0,1,-1,loser,Friendly,Casablanca,Morocco,-1,1,2,0.780468108,Morocco,Morocco,Algeria,Algeria
49,11/03/1966,1966,6,3,Libya,Libya,home_team,4,0,4,-4,winner,Friendly,Tripoli,Libya,4,4,2,0.379269965,Libya,Libya,Morocco,Morocco
49,11/03/1966,1966,6,3,Morocco,Morocco,away_team,4,0,4,-4,loser,Friendly,Tripoli,Libya,-4,4,2,0.582542783,Libya,Libya,Morocco,Morocco
50,14/03/1966,1966,6,3,Libya,Libya,home_team,0,2,-2,2,loser,Friendly,Tripoli,Libya,-2,2,2,0.425940827,Libya,Libya,Iraq,Iraq
50,14/03/1966,1966,6,3,Iraq,Iraq,away_team,0,2,-2,2,winner,Friendly,Tripoli,Libya,2,2,2,0.671616716,Libya,Libya,Iraq,Iraq
51,18/03/1966,1966,6,3,Iraq,Iraq,home_team,0,1,-1,1,loser,Friendly,Tripoli,Libya,-1,1,2,0.338454194,Iraq,Iraq,Morocco,Morocco
51,18/03/1966,1966,6,3,Morocco,Morocco,away_team,0,1,-1,1,winner,Friendly,Tripoli,Libya,1,1,2,0.594813128,Iraq,Iraq,Morocco,Morocco
52,19/03/1966,1966,6,3,Iraq,Iraq,home_team,1,2,-1,1,loser,Friendly,Tripoli,Libya,-1,1,2,0.080442829,Iraq,Iraq,Morocco,Morocco
52,19/03/1966,1966,6,3,Morocco,Morocco,away_team,1,2,-1,1,winner,Friendly,Tripoli,Libya,1,1,2,0.392636857,Iraq,Iraq,Morocco,Morocco
53,01/04/1966,1966,6,4,Bahrain,Bahrain,home_team,4,4,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.468325719,Bahrain,Bahrain,Kuwait,Kuwait
53,01/04/1966,1966,6,4,Kuwait,Kuwait,away_team,4,4,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.990053274,Bahrain,Bahrain,Kuwait,Kuwait
54,01/04/1966,1966,6,4,Iraq,Iraq,home_team,0,0,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.643081289,Iraq,Iraq,Lebanon,Lebanon
54,01/04/1966,1966,6,4,Lebanon,Lebanon,away_team,0,0,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.869468592,Iraq,Iraq,Lebanon,Lebanon
55,02/04/1966,1966,6,4,Libya,Libya,home_team,0,0,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.33941924,Libya,Libya,Palestine,Palestine
55,02/04/1966,1966,6,4,Palestine,Palestine,away_team,0,0,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.395022971,Libya,Libya,Palestine,Palestine
56,02/04/1966,1966,6,4,Syria,Syria,home_team,4,1,3,-3,winner,UAFA Cup,Baghdad,Iraq,3,3,2,0.001441164,Syria,Syria,Yemen,Yemen
56,02/04/1966,1966,6,4,Yemen,Yemen,away_team,4,1,3,-3,loser,UAFA Cup,Baghdad,Iraq,-3,3,2,0.644570941,Syria,Syria,Yemen,Yemen
57,03/04/1966,1966,6,4,Bahrain,Bahrain,home_team,1,6,-5,5,loser,UAFA Cup,Baghdad,Iraq,-5,5,2,0.405697294,Bahrain,Bahrain,Lebanon,Lebanon
57,03/04/1966,1966,6,4,Lebanon,Lebanon,away_team,1,6,-5,5,winner,UAFA Cup,Baghdad,Iraq,5,5,2,0.172503607,Bahrain,Bahrain,Lebanon,Lebanon
58,03/04/1966,1966,6,4,Iraq,Iraq,home_team,2,1,1,-1,winner,UAFA Cup,Baghdad,Iraq,1,1,2,0.803565445,Iraq,Iraq,Jordan,Jordan
58,03/04/1966,1966,6,4,Jordan,Jordan,away_team,2,1,1,-1,loser,UAFA Cup,Baghdad,Iraq,-1,1,2,0.423107258,Iraq,Iraq,Jordan,Jordan
59,04/04/1966,1966,6,4,Libya,Libya,home_team,0,0,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.955644462,Libya,Libya,Syria,Syria
59,04/04/1966,1966,6,4,Syria,Syria,away_team,0,0,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.782841346,Libya,Libya,Syria,Syria
60,04/04/1966,1966,6,4,Palestine,Palestine,home_team,7,0,7,-7,winner,UAFA Cup,Baghdad,Iraq,7,7,2,0.346391421,Palestine,Palestine,Yemen,Yemen
60,04/04/1966,1966,6,4,Yemen,Yemen,away_team,7,0,7,-7,loser,UAFA Cup,Baghdad,Iraq,-7,7,2,0.178434135,Palestine,Palestine,Yemen,Yemen
61,05/04/1966,1966,6,4,Iraq,Iraq,home_team,3,1,2,-2,winner,UAFA Cup,Baghdad,Iraq,2,2,2,0.946408281,Iraq,Iraq,Kuwait,Kuwait
61,05/04/1966,1966,6,4,Kuwait,Kuwait,away_team,3,1,2,-2,loser,UAFA Cup,Baghdad,Iraq,-2,2,2,0.054250369,Iraq,Iraq,Kuwait,Kuwait
62,05/04/1966,1966,6,4,Jordan,Jordan,home_team,1,2,-1,1,loser,UAFA Cup,Baghdad,Iraq,-1,1,2,0.663393594,Jordan,Jordan,Lebanon,Lebanon
62,05/04/1966,1966,6,4,Lebanon,Lebanon,away_team,1,2,-1,1,winner,UAFA Cup,Baghdad,Iraq,1,1,2,0.903990439,Jordan,Jordan,Lebanon,Lebanon
63,06/04/1966,1966,6,4,Libya,Libya,home_team,14,0,14,-14,winner,UAFA Cup,Baghdad,Iraq,14,14,2,0.467163021,Libya,Libya,Yemen,Yemen
63,06/04/1966,1966,6,4,Yemen,Yemen,away_team,14,0,14,-14,loser,UAFA Cup,Baghdad,Iraq,-14,14,2,0.783590443,Libya,Libya,Yemen,Yemen
64,06/04/1966,1966,6,4,Palestine,Palestine,home_team,1,3,-2,2,loser,UAFA Cup,Baghdad,Iraq,-2,2,2,0.408903265,Palestine,Palestine,Syria,Syria
64,06/04/1966,1966,6,4,Syria,Syria,away_team,1,3,-2,2,winner,UAFA Cup,Baghdad,Iraq,2,2,2,0.053357387,Palestine,Palestine,Syria,Syria
65,07/04/1966,1966,6,4,Iraq,Iraq,home_team,10,1,9,-9,winner,UAFA Cup,Baghdad,Iraq,9,9,2,0.080408128,Iraq,Iraq,Bahrain,Bahrain
65,07/04/1966,1966,6,4,Bahrain,Bahrain,away_team,10,1,9,-9,loser,UAFA Cup,Baghdad,Iraq,-9,9,2,0.407796785,Iraq,Iraq,Bahrain,Bahrain
66,07/04/1966,1966,6,4,Jordan,Jordan,home_team,2,2,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.119075097,Jordan,Jordan,Kuwait,Kuwait
66,07/04/1966,1966,6,4,Kuwait,Kuwait,away_team,2,2,0,0,draw,UAFA Cup,Baghdad,Iraq,0,0,2,0.707719278,Jordan,Jordan,Kuwait,Kuwait
67,08/04/1966,1966,6,4,Iraq,Iraq,home_team,3,1,2,-2,winner,UAFA Cup,Baghdad,Iraq,2,2,2,0.56384711,Iraq,Iraq,Libya,Libya
67,08/04/1966,1966,6,4,Libya,Libya,away_team,3,1,2,-2,loser,UAFA Cup,Baghdad,Iraq,-2,2,2,0.027725122,Iraq,Iraq,Libya,Libya
68,08/04/1966,1966,6,4,Lebanon,Lebanon,home_team,0,1,-1,1,loser,UAFA Cup,Baghdad,Iraq,-1,1,2,0.872115002,Lebanon,Lebanon,Syria,Syria
68,08/04/1966,1966,6,4,Syria,Syria,away_team,0,1,-1,1,winner,UAFA Cup,Baghdad,Iraq,1,1,2,0.718228018,Lebanon,Lebanon,Syria,Syria
69,09/04/1966,1966,6,4,Bahrain,Bahrain,home_team,1,2,-1,1,loser,UAFA Cup,Baghdad,Iraq,-1,1,2,0.956464863,Bahrain,Bahrain,Jordan,Jordan
69,09/04/1966,1966,6,4,Jordan,Jordan,away_team,1,2,-1,1,winner,UAFA Cup,Baghdad,Iraq,1,1,2,0.782307826,Bahrain,Bahrain,Jordan,Jordan
70,09/04/1966,1966,6,4,Kuwait,Kuwait,home_team,1,2,-1,1,loser,UAFA Cup,Baghdad,Iraq,-1,1,2,0.877871582,Kuwait,Kuwait,Lebanon,Lebanon
70,09/04/1966,1966,6,4,Lebanon,Lebanon,away_team,1,2,-1,1,winner,UAFA Cup,Baghdad,Iraq,1,1,2,0.144242223,Kuwait,Kuwait,Lebanon,Lebanon
71,10/04/1966,1966,6,4,Iraq,Iraq,home_team,2,1,1,-1,winner,UAFA Cup,Baghdad,Iraq,1,1,2,0.86346451,Iraq,Iraq,Syria,Syria
71,10/04/1966,1966,6,4,Syria,Syria,away_team,2,1,1,-1,loser,UAFA Cup,Baghdad,Iraq,-1,1,2,0.114216318,Iraq,Iraq,Syria,Syria
72,10/04/1966,1966,6,4,Libya,Libya,home_team,6,1,5,-5,winner,UAFA Cup,Baghdad,Iraq,5,5,2,0.850375227,Libya,Libya,Lebanon,Lebanon
72,10/04/1966,1966,6,4,Lebanon,Lebanon,away_team,6,1,5,-5,loser,UAFA Cup,Baghdad,Iraq,-5,5,2,0.750488165,Libya,Libya,Lebanon,Lebanon
73,24/11/1966,1966,6,11,Algeria,Algeria,home_team,2,2,0,0,draw,Friendly,Algiers,Algeria,0,0,2,0.772120351,Algeria,Algeria,Morocco,Morocco
73,24/11/1966,1966,6,11,Morocco,Morocco,away_team,2,2,0,0,draw,Friendly,Algiers,Algeria,0,0,2,0.328896364,Algeria,Algeria,Morocco,Morocco
74,25/11/1966,1966,6,11,Palestine,Palestine,home_team,5,3,2,-2,winner,GaNEFo,Phnom Penh,Cambodia,2,2,2,0.871035064,Palestine,Palestine,Yemen,Yemen
74,25/11/1966,1966,6,11,Yemen,Yemen,away_team,5,3,2,-2,loser,GaNEFo,Phnom Penh,Cambodia,-2,2,2,0.016632863,Palestine,Palestine,Yemen,Yemen
