serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
342,02/04/1979,1979,9,4,Bahrain,Bahrain,away_team,1,1,0,0,draw,Gulf Cup,Baghdad,Iraq,0,0,3,0.730577854,Saudi Arabia,Saudi_Arabia,Bahrain,Bahrain
343,03/04/1979,1979,9,4,Kuwait,Kuwait,home_team,2,0,2,-2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.383384228,Kuwait,Kuwait,Oman,Oman
343,03/04/1979,1979,9,4,Oman,Oman,away_team,2,0,2,-2,loser,Gulf Cup,Baghdad,Iraq,-2,2,3,0.446550136,Kuwait,Kuwait,Oman,Oman
442,26/03/1984,1984,4,3,Saudi Arabia,Saudi_Arabia,away_team,0,2,-2,2,winner,Gulf Cup,Muscat,Oman,2,2,4,0.199365418,Bahrain,Bahrain,Saudi Arabia,Saudi_Arabia
344,04/04/1979,1979,9,4,Qatar,Qatar,away_team,7,0,7,-7,loser,Gulf Cup,Baghdad,Iraq,-7,7,3,0.326714935,Saudi Arabia,Saudi_Arabia,Qatar,Qatar
345,04/04/1979,1979,9,4,Iraq,Iraq,home_team,5,0,5,-5,winner,Gulf Cup,Baghdad,Iraq,5,5,3,0.991860597,Iraq,Iraq,UAE,UAE
445,22/10/1984,1984,4,10,Saudi Arabia,Saudi_Arabia,home_team,1,0,1,-1,winner,AFC Asian Cup qualification,Jeddah,Saudi Arabia,1,1,4,0.402331097,Saudi Arabia,Saudi_Arabia,UAE,UAE
346,06/04/1979,1979,9,4,Iraq,Iraq,home_team,7,0,7,-7,winner,Gulf Cup,Baghdad,Iraq,7,7,3,0.389690458,Iraq,Iraq,Oman,Oman
346,06/04/1979,1979,9,4,Oman,Oman,away_team,7,0,7,-7,loser,Gulf Cup,Baghdad,Iraq,-7,7,3,0.818328702,Iraq,Iraq,Oman,Oman
347,06/04/1979,1979,9,4,Kuwait,Kuwait,home_team,0,0,0,0,draw,Gulf Cup,Baghdad,Iraq,0,0,3,0.463065688,Kuwait,Kuwait,Saudi Arabia,Saudi_Arabia
447,26/10/1984,1984,4,10,Saudi Arabia,Saudi_Arabia,home_team,6,0,6,-6,winner,AFC Asian Cup qualification,Jeddah,Saudi Arabia,6,6,4,0.886837987,Saudi Arabia,Saudi_Arabia,Oman,Oman
348,07/04/1979,1979,9,4,Bahrain,Bahrain,home_team,1,1,0,0,draw,Gulf Cup,Baghdad,Iraq,0,0,3,0.121379478,Bahrain,Bahrain,Qatar,Qatar
348,07/04/1979,1979,9,4,Qatar,Qatar,away_team,1,1,0,0,draw,Gulf Cup,Baghdad,Iraq,0,0,3,0.014797836,Bahrain,Bahrain,Qatar,Qatar
349,08/04/1979,1979,9,4,Iraq,Iraq,home_team,2,0,2,-2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.534361532,Iraq,Iraq,Saudi Arabia,Saudi_Arabia
