date,day,home_team,home_team_,away_team,away_team_,home_score,away_score,tournament,city,country,year,year_n,month,home_result,away_result,result,total_goals,home_result_desc,away_result_desc,serial,decade,home_group,away_group,home_random,away_random
29/11/2010,29,UAE,UAE,Bahrain,Bahrain,3,1,Gulf Cup,Zinjibar,Yemen,2010,0,11,2,-2,2,4,winner,loser,1511,7,0,0,0.51543875,0.434904441
22/12/2014,22,Iraq,Iraq,Kuwait,Kuwait,1,1,Friendly,al-Hamriyah,United Arab Emirates,2014,4,12,0,0,0,2,draw,draw,1742,7,0,0,0.51868607,0.225882536
19/07/2004,19,Kuwait,Kuwait,UAE,UAE,3,1,AFC Asian Cup,Jinan,China PR,2004,4,7,2,-2,2,4,winner,loser,1183,6,0,0,0.62853166,0.096750533
27/07/2004,27,Jordan,Jordan,UAE,UAE,0,0,AFC Asian Cup,Beijing,China PR,2004,4,7,0,0,0,0,draw,draw,1187,6,1,0,0.26693892,0.986518109
31/12/2014,31,Qatar,Qatar,Oman,Oman,2,2,Friendly,Canberra,Australia,2014,4,12,0,0,0,4,draw,draw,1745,7,1,1,0.27932065,0.837557978
04/01/2015,4,Bahrain,Bahrain,Jordan,Jordan,1,0,Friendly,Ballarat,Australia,2015,5,1,1,-1,1,1,winner,loser,1746,7,0,1,0.17770482,0.129869344
11/01/2015,11,Tunisia,Tunisia,Algeria,Algeria,1,1,Friendly,Radès,Tunisia,2015,5,1,0,0,0,2,draw,draw,1747,7,1,1,0.077586,0.483175267
02/01/2011,2,UAE,UAE,Syria,Syria,2,0,Friendly,Al Ain,United Arab Emirates,2011,1,1,2,-2,2,2,winner,loser,1520,7,0,0,0.15895583,0.59341899
12/01/2015,12,Jordan,Jordan,Iraq,Iraq,0,1,AFC Asian Cup,Brisbane,Australia,2015,5,1,-1,1,1,1,loser,winner,1749,7,1,0,0.66851095,0.224765651
08/09/2004,8,Yemen,Yemen,UAE,UAE,3,1,FIFA World Cup qualification,Sana'a,Yemen,2004,4,9,2,-2,2,4,winner,loser,1195,6,1,0,0.20636289,0.785385694
16/01/2015,16,Palestine,Palestine,Jordan,Jordan,1,5,AFC Asian Cup,Melbourne,Australia,2015,5,1,-4,4,4,6,loser,winner,1751,7,0,1,0.04849408,0.055625172
17/01/2015,17,Oman,Oman,Kuwait,Kuwait,1,0,AFC Asian Cup,Newcastle,Australia,2015,5,1,1,-1,1,1,winner,loser,1752,7,1,0,0.53098606,0.968930212
19/01/2015,19,Qatar,Qatar,Bahrain,Bahrain,1,2,AFC Asian Cup,Sydney,Australia,2015,5,1,-1,1,1,3,loser,winner,1753,7,1,0,0.05740692,0.748784657
20/01/2015,20,Iraq,Iraq,Palestine,Palestine,2,0,AFC Asian Cup,Canberra,Australia,2015,5,1,2,-2,2,2,winner,loser,1754,7,0,0,0.30102665,0.670348581
10/12/2004,10,Qatar,Qatar,UAE,UAE,2,2,Gulf Cup,Doha,Qatar,2004,4,12,0,0,0,4,draw,draw,1214,6,1,0,0.75165521,0.489010591
26/03/2015,26,Jordan,Jordan,Syria,Syria,0,1,Friendly,Amman,Jordan,2015,5,3,-1,1,1,1,loser,winner,1756,7,1,0,0.03557489,0.763084762
26/03/2015,26,Qatar,Qatar,Algeria,Algeria,1,0,Friendly,Doha,Qatar,2015,5,3,1,-1,1,1,winner,loser,1757,7,1,1,0.11523659,0.597467955
30/03/2015,30,Oman,Oman,Algeria,Algeria,1,4,Friendly,Doha,Qatar,2015,5,3,-3,3,3,5,loser,winner,1758,7,1,1,0.76201369,0.963073444
15/01/2011,15,UAE,UAE,Iraq,Iraq,0,1,AFC Asian Cup,Rayyan,Qatar,2011,1,1,-1,1,1,1,loser,winner,1523,7,0,0,0.3182849,0.865575639
24/05/2015,24,Lebanon,Lebanon,Syria,Syria,2,2,Friendly,Sidon,Lebanon,2015,5,5,0,0,0,4,draw,draw,1760,7,1,0,0.50538603,0.041233478
30/05/2015,30,Bahrain,Bahrain,Oman,Oman,0,0,Friendly,Riffa,Bahrain,2015,5,5,0,0,0,0,draw,draw,1761,7,0,1,0.36293112,0.343885775
30/05/2015,30,Jordan,Jordan,Lebanon,Lebanon,0,0,Friendly,Irbid,Jordan,2015,5,5,0,0,0,0,draw,draw,1762,7,1,1,0.89366065,0.20799861
05/06/2015,5,Jordan,Jordan,Kuwait,Kuwait,2,2,Friendly,Istanbul,Turkey,2015,5,6,0,0,0,4,draw,draw,1763,7,1,0,0.57823655,0.774551846
05/06/2015,5,Oman,Oman,Syria,Syria,1,2,Friendly,Muscat,Oman,2015,5,6,-1,1,1,3,loser,winner,1764,7,1,0,0.42091084,0.008305935
11/06/2015,11,Lebanon,Lebanon,Kuwait,Kuwait,0,1,FIFA World Cup qualification,Sidon,Lebanon,2015,5,6,-1,1,1,1,loser,winner,1765,7,1,0,0.30883043,0.405116141
17/07/2011,17,UAE,UAE,Lebanon,Lebanon,6,2,Friendly,al-Ain,United Arab Emirates,2011,1,7,4,-4,4,8,winner,loser,1544,7,0,1,0.63843989,0.959335632
12/06/2015,12,Morocco,Morocco,Libya,Libya,1,0,African Cup of Nations qualification,Agadir,Morocco,2015,5,6,1,-1,1,1,winner,loser,1767,7,0,0,0.82360456,0.520321278
12/06/2015,12,Tunisia,Tunisia,Djibouti,Djibouti,8,1,African Cup of Nations qualification,Radès,Tunisia,2015,5,6,7,-7,7,9,winner,loser,1768,7,1,0,0.7325079,0.219833575
15/06/2015,15,Morocco,Morocco,Tunisia,Tunisia,1,1,African Nations Championship,Casablanca,Morocco,2015,5,6,0,0,0,2,draw,draw,1769,7,0,1,0.90578239,0.298058459
21/06/2015,21,Morocco,Morocco,Libya,Libya,3,0,African Nations Championship,Casablanca,Morocco,2015,5,6,3,-3,3,3,winner,loser,1770,7,0,0,0.56842175,0.098103149
26/08/2015,26,Lebanon,Lebanon,Iraq,Iraq,2,3,Friendly,Sidon,Lebanon,2015,5,8,-1,1,1,5,loser,winner,1771,7,1,0,0.84743125,0.796008196
28/08/2015,28,Oman,Oman,Yemen,Yemen,1,0,Friendly,Seeb,Oman,2015,5,8,1,-1,1,1,winner,loser,1772,7,1,1,0.64652814,0.962688682
31/08/2015,31,Lebanon,Lebanon,Palestine,Palestine,0,0,Friendly,Sidon,Lebanon,2015,5,8,0,0,0,0,draw,draw,1773,7,1,0,0.64311428,0.904927765
13/12/2004,13,Oman,Oman,UAE,UAE,2,1,Gulf Cup,Doha,Qatar,2004,4,12,1,-1,1,3,winner,loser,1217,6,1,0,0.13503777,0.853738975
08/09/2015,8,Yemen,Yemen,Bahrain,Bahrain,0,4,FIFA World Cup qualification,Doha,Qatar,2015,5,9,-4,4,4,4,loser,winner,1775,7,1,0,0.21066854,0.923531561
02/10/2015,2,Oman,Oman,Syria,Syria,2,1,Friendly,Muscat,Oman,2015,5,10,1,-1,1,3,winner,loser,1776,7,1,0,0.67996622,0.398096766
03/10/2015,3,Jordan,Jordan,Iraq,Iraq,3,0,Friendly,Amman,Jordan,2015,5,10,3,-3,3,3,winner,loser,1777,7,1,0,0.52461983,0.552830711
25/08/2011,25,UAE,UAE,Qatar,Qatar,3,1,Friendly,al-Ain,United Arab Emirates,2011,1,8,2,-2,2,4,winner,loser,1551,7,0,1,0.21210797,0.348843519
02/09/2011,2,UAE,UAE,Kuwait,Kuwait,2,3,FIFA World Cup qualification,al-Ain,United Arab Emirates,2011,1,9,-1,1,1,5,loser,winner,1557,7,0,0,0.3611242,0.524583505
13/10/2015,13,Kuwait,Kuwait,Lebanon,Lebanon,0,0,FIFA World Cup qualification,Kuwait City,Kuwait,2015,5,10,0,0,0,0,draw,draw,1780,7,0,1,0.20875583,0.115301319
16/12/2004,16,Iraq,Iraq,UAE,UAE,1,1,Gulf Cup,Rayyan,Qatar,2004,4,12,0,0,0,2,draw,draw,1221,6,0,0,0.25456881,0.572369507
19/10/2015,19,Tunisia,Tunisia,Libya,Libya,1,0,African Nations Championship,Radès,Tunisia,2015,5,10,1,-1,1,1,winner,loser,1782,7,1,0,0.3671551,0.873588187
22/10/2015,22,Libya,Libya,Morocco,Morocco,0,4,African Nations Championship,Radès,Tunisia,2015,5,10,-4,4,4,4,loser,winner,1783,7,0,0,0.71318357,0.158780255
25/10/2015,25,Tunisia,Tunisia,Morocco,Morocco,2,3,African Nations Championship,Radès,Tunisia,2015,5,10,-1,1,1,5,loser,winner,1784,7,1,0,0.6982114,0.467745393
28/07/2005,28,Kuwait,Kuwait,UAE,UAE,1,1,Friendly,Geneva,Switzerland,2005,5,7,0,0,0,2,draw,draw,1240,6,0,0,0.25583305,0.860420579
13/11/2015,13,Mauritania,Mauritania,Tunisia,Tunisia,1,2,FIFA World Cup qualification,Nouakchott,Mauritania,2015,5,11,-1,1,1,3,loser,winner,1786,7,1,1,0.0752624,0.680839087
17/11/2015,17,Tunisia,Tunisia,Mauritania,Mauritania,2,1,FIFA World Cup qualification,Radès,Tunisia,2015,5,11,1,-1,1,3,winner,loser,1787,7,1,1,0.64208637,0.858290967
24/02/2012,24,UAE,UAE,Palestine,Palestine,3,0,Friendly,Abu Dhabi,United Arab Emirates,2012,2,2,3,-3,3,3,winner,loser,1573,7,0,0,0.01357912,0.690894071
29/02/2012,29,UAE,UAE,Lebanon,Lebanon,4,2,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,2012,2,2,2,-2,2,6,winner,loser,1574,7,0,1,0.12375969,0.366307264
27/11/2015,27,Djibouti,Djibouti,Sudan,Sudan,0,4,CECAFA Cup,Bahir Dar,Ethiopia,2015,5,11,-4,4,4,4,loser,winner,1790,7,0,1,0.16775755,0.865400411
11/09/2012,11,UAE,UAE,Kuwait,Kuwait,3,0,Friendly,Dubai,United Arab Emirates,2012,2,9,3,-3,3,3,winner,loser,1607,7,0,0,0.61501163,0.739880253
27/01/2016,27,Egypt,Egypt,Jordan,Jordan,0,1,Friendly,Aswan,Egypt,2016,6,1,-1,1,1,1,loser,winner,1792,7,1,1,0.40867448,0.757681639
29/01/2016,29,Egypt,Egypt,Libya,Libya,2,0,Friendly,Aswan,Egypt,2016,6,1,2,-2,2,2,winner,loser,1793,7,1,0,0.96894922,0.750167824
05/02/2016,5,Bahrain,Bahrain,Lebanon,Lebanon,2,0,Friendly,Riffa,Bahrain,2016,6,2,2,-2,2,2,winner,loser,1794,7,0,1,0.84122798,0.315513447
18/03/2016,18,Iraq,Iraq,Syria,Syria,0,1,Friendly,Teheran,Iran,2016,6,3,-1,1,1,1,loser,winner,1795,7,0,0,0.42332908,0.797164237
24/03/2016,24,Bahrain,Bahrain,Yemen,Yemen,3,0,FIFA World Cup qualification,Riffa,Bahrain,2016,6,3,3,-3,3,3,winner,loser,1796,7,0,1,0.59696509,0.859745979
16/10/2012,16,UAE,UAE,Bahrain,Bahrain,6,2,Friendly,Dubai,United Arab Emirates,2012,2,10,4,-4,4,8,winner,loser,1613,7,0,0,0.40528976,0.64862861
25/12/2012,25,UAE,UAE,Yemen,Yemen,2,0,Friendly,Doha,Qatar,2012,2,12,2,-2,2,2,winner,loser,1638,7,0,1,0.55297305,0.565110144
03/06/2016,3,Djibouti,Djibouti,Tunisia,Tunisia,0,3,African Cup of Nations qualification,Djibouti,Djibouti,2016,6,6,-3,3,3,3,loser,winner,1799,7,0,1,0.50178302,0.605945033
03/06/2016,3,Libya,Libya,Morocco,Morocco,1,1,African Cup of Nations qualification,Radès,Tunisia,2016,6,6,0,0,0,2,draw,draw,1800,7,0,0,0.32186581,0.050229686
